Resource,Slug,URL,Bucket,Topic,Type,Created,Modified,Published,Keep?
Competency-Based Governance Tool Kit,competency-based-governance-tool-kit,/boardcomp/tools/competency-based-governance-tool-kit.pdf,Good Governance Practices,Board Composition & Selection,,2/6/17,2/6/17,,Yes
Sample Application for Membership,sample-application-for-membership,/boardcomp/tools/sample-application-for-membership.pdf,Good Governance Practices,Board Composition & Selection,,2/6/17,2/6/17,1/1/05,Yes
Sample Board Chair Selection Process Guideline,sample-board-chair-selection-process-guideline,/boardcomp/tools/sample-board-chair-selection-process-guideline.pdf,Good Governance Practices,Board Composition & Selection,,2/6/17,2/6/17,1/1/05,Yes
Sample Director Recruitment and Selection Process,sample-director-recruitment-and-selection-process,/boardcomp/tools/sample-director-recruitment-and-selection-process.pdf,Good Governance Practices,Board Composition & Selection,,2/6/17,2/6/17,1/1/05,Yes
Sample Guidelines for Director Selection,sample-guidelines-for-director-selection,/boardcomp/tools/sample-guidelines-for-director-selection.pdf,Good Governance Practices,Board Composition & Selection,,2/6/17,2/6/17,2015,Yes
Active Board Succession (Webinar),active-board-succession-webinar,/boardcomp/web-rec/17mar-active-board-succession.shtml,Good Governance Practices,Board Composition & Selection,,3/15/17,8/14/18,1/1/17,Yes
Achieving the Best Fit: Using Competencies in Beta Selection (Webinar),achieving-the-best-fit-using-competencies-in-beta-selection-webinar,/boardcomp/web-rec/achieving-best-fit-rec-nm.shtml,Good Governance Practices,Board Composition & Selection,,2/6/17,8/14/18,,Yes
Board Members: Industry Experts and Cross-Over Representation (Webinar),board-members-industry-experts-and-crossover-representation-webinar,/boardcomp/web-rec/board-members-rec-nm.shtml,Good Governance Practices,Board Composition & Selection,,2/6/17,8/14/18,1/1/14,Yes
Resources for Applying Competencies to Governance,resources-for-applying-competencies-to-governance,/boardcomp/Workbook2011-01.pdf,Good Governance Practices,Board Composition & Selection,,2/6/17,2/6/17,1/1/11,Yes
Assessing the 'Fit': Using Competencies to Select New Board Members,assessing-the-fit-using-competencies-to-select-new-board-members,/boardcomp/Workbook2012-07.pdf,Good Governance Practices,Board Composition & Selection,,2/6/17,2/6/17,1/1/12,Yes
Women in Governance: A Savvy Strategy for Advancing Community Health,women-in-governance-a-savvy-strategy-for-advancing-community-health,/boardcomp/Workbook2016-01.pdf,Good Governance Practices,Board Composition & Selection,,2/6/17,2/6/17,1/1/16,Yes
Principles and Best Practices for Effective Governance,principles-and-best-practices-for-effective-governance,/boardculture/archive/Effective_Governance_Principles.pdf,Good Governance Practices,Board Culture,,2/6/17,7/5/18,,Yes
Red Rules for Boards,red-rules-for-boards,/boardculture/archive/GB-Summer07-Red-Rules.pdf,Good Governance Practices,Board Culture,,2/6/17,7/5/18,,Yes
Distinguishing Governance and Management,distinguishing-governance-and-management,/boardculture/archive/Great-Boards-fall-2008-reprint-distinguishing-governance-and-management.pdf,Good Governance Practices,Board Culture,,2/6/17,7/5/18,1/1/08,Yes
Top 10 Principles and Practices of Great Boards,top-10-principles-and-practices-of-great-boards,/boardculture/archive/Great-Boards-reprint-Top_Ten_Practices_of_Great_Boards.pdf,Good Governance Practices,Board Culture,,2/6/17,7/5/18,,Yes
"Governance, Leadership & Management Grid",governance-leadership-management-grid,/boardculture/articles/mansfield-exhibit-1.shtml,Good Governance Practices,Board Culture,Beta Tool,9/14/18,9/14/18,9/1/18,Yes
Memorandum of Understanding MHS Board Chair/CEO Compact,memorandum-of-understanding-mhs-board-chairceo-compact,/boardculture/articles/mansfield-exhibit-2.shtml,Good Governance Practices,Board Culture,Beta Tool,9/14/18,9/14/18,91/2018,Yes
Preserving the Distinction Between Management and Governance,preserving-the-distinction-between-management-and-governance,/boardculture/articles/preserving-the-distinction-between-management-and-governance.shtml ,Good Governance Practices,Board Culture,,9/10/18,9/10/18,9/10/18,Yes
Minding Your Manners,minding-your-manners,/boardculture/center-voices-5-12.pdf,Good Governance Practices,Board Culture,,2/6/17,2/6/17,1/1/12,Yes
Building a Lasting Impression,building-a-lasting-impression,/boardculture/center-voices-7-12.pdf,Good Governance Practices,Board Culture,,2/6/17,2/6/17,1/1/14,Yes
Getting Ready to Govern,getting-ready-to-govern,/boardculture/center-voices-7-13.pdf,Good Governance Practices,Board Culture,,2/6/17,2/6/17,1/1/13,Yes
The Importance of Board Member Relationships,the-importance-of-board-member-relationships,/boardculture/email-beta-quarterly-totten-board.pdf,Good Governance Practices,Board Culture,,6/11/17,6/11/17,1/1/17,Yes
Engaging Millennials in Governance,engaging-millennials-in-governance,/boardculture/Engaging-Millennials-in-Governance.pdf,Good Governance Practices,Board Composition & Selection,,4/10/18,7/5/18,1/1/18,Yes
Making Effective Decisions in Times of Uncertainty and Change: What Boards Need to Know Webinar (Part Two),making-effective-decisions-in-times-of-uncertainty-and-change-what-boards-need-to-know-webinar-part-two,/boardculture/web-rec/effective-decisions-part-2-rec-nm.shtml,Good Governance Practices,Board Culture,,2/6/17,8/8/18,,Yes
Making Effective Decisions in Times of Uncertainty and Change: What Boards Need to Know Webinar (Part One),making-effective-decisions-in-times-of-uncertainty-and-change-what-boards-need-to-know-webinar-part-one,/boardculture/web-rec/effective-decisions-rec-nm.shtml,Good Governance Practices,Board Culture,,2/6/17,8/8/18,,Yes
"Innovation: What It Is, Why It's Important, and How to Start (Webinar)",innovation-what-it-is-why-its-important-and-how-to-start-webinar,/boardculture/web-rec/importance-of-innovation.shtml,Issues & Trends,Innovation,,2/6/17,8/14/18,,Yes
Power of Education,power-of-education,/boarddev/archive/center-voices-2-11.pdf,Good Governance Practices,Board Development,,2/6/17,7/5/18,1/1/11,Yes
New Board Chair,new-board-chair,/boarddev/archive/GI08_1.pdf,Good Governance Practices,Board Development,,2/6/17,7/5/18,1/1/08,Yes
Selecting & Preparing a Chair Elect,selecting-preparing-a-chair-elect,/boarddev/archive/selecting_and_preparing_a_chair_elect.pdf,Good Governance Practices,Board Development,,2/6/17,7/5/18,,Yes
Competency-Based Succession Planning,competency-based-succession-planning,/boarddev/archive/Succession_Planning_for_Board_Members.pdf,Good Governance Practices,Board Composition & Selection,,2/6/17,7/5/18,,Yes
New Approaches to Board Chair Effectiveness,new-approaches-to-board-chair-effectiveness,/boarddev/archive/Workbook2010-01.pdf,Good Governance Practices,Board Development,,2/6/17,7/5/18,1/1/10,Yes
Coaching: A Critical Tool for Board Chair Development,coaching-a-critical-tool-for-board-chair-development,/boarddev/articles/coaching-a-critical-tool-for-board-chair-development.shtml,Good Governance Practices,Board Development,,1/16/19,1/16/19,1/16/19,Yes
Governance Collaborative: Next-Generation Board Development,governance-collaborative-nextgeneration-board-development,/boarddev/GovernanceCollaborative.pdf,Good Governance Practices,Board Development,,3/27/17,3/27/17,1/1/17,Yes
MHC Governance Learning Collaborative,mhc-governance-learning-collaborative,/boarddev/mhcgovernance.pdf,Good Governance Practices,Board Development,,3/17/17,3/17/17,1/1/16,Yes
Competency-Based Leadership Development and Succession Planning,competencybased-leadership-development-and-succession-planning,/boarddev/tools/competency-based-development-succession-planning-tools.doc,Good Governance Practices,Board Development,,2/6/17,2/22/17,,Yes
Building (and Maintaining) Your Best Board (Webinar),building-and-maintaining-your-best-board-webinar,/boarddev/web-rec/building-and-maintaining-your-best-board.shtml,Good Governance Practices,Board Development,,6/12/17,8/14/18,1/1/17,Yes
Moving Your Board from Good to Great,moving-your-board-from-good-to-great,/boarddev/Workbook2014-01.pdf,Good Governance Practices,Board Development,,2/6/17,2/22/17,1/1/14,Yes
Governing for Diverse Communities,governing-for-diverse-communities,/boarddev/Workbook2015-07.pdf,Good Governance Practices,Board Composition & Selection,,2/6/17,7/5/18,1/1/15,Yes
Competency Based Governance Enters the Health Care Boardroom,competency-based-governance-enters-the-health-care-boardroom,/boardeval/10-competency-based-governance.pdf,Good Governance Practices,Board Evaluation,,8/20/18,8/20/18,1/1/10,Yes
Peer Assessment Instruments ,peer-assessment-instruments-,/boardeval/archive/chp_peer_assessment_resources.pdf,Good Governance Practices,Board Evaluation,,2/6/17,7/5/18,,Yes
Evaluating the Board Chair,evaluating-the-board-chair,/boardeval/archive/GI09_1.pdf,Good Governance Practices,Board Evaluation,,2/6/17,7/5/18,1/1/09,Yes
Is Your Board Bored with Self Assessment?,is-your-board-bored-with-self-assessment,/boardeval/archive/Great-Boards-reprint-Is_Your_Board_Bored_with_Self_Assessment.pdf,Good Governance Practices,Board Evaluation,,2/6/17,7/5/18,,Yes
Evaluating Individual Beta' Performance,evaluating-individual-beta-performance,/boardeval/archive/Individual_Beta_Asssessment.pdf,Good Governance Practices,Board Evaluation,,2/6/17,2/22/17,,Yes
Competency-Based Governance Tool Kit ,competencybased-governance-tool-kit-,/boardeval/archive/tools/competency-based-governance-tool-kit.pdf,Good Governance Practices,Board Evaluation,,2/6/17,7/5/18,1/1/10,Yes
Board Self Evaluation,board-self-evaluation,/boardeval/Best_practices_self_evaluation.PDF,Good Governance Practices,Board Evaluation,,2/6/17,2/6/17,1/1/16,Yes
Doing Board Self-Assessments That Actually Matter,doing-board-selfassessments-that-actually-matter,/boardeval/Board Self-Assessment 2018.pdf,Good Governance Practices,Board Evaluation,,1/17/18,1/17/18,1/1/18,Yes
Board Evaluation Process Overview,board-evaluation-process-overview,/boardeval/board-evaluation-process-overview.pdf,Good Governance Practices,Board Evaluation,,2/6/17,2/6/17,1/1/09,Yes
Bringing Competencies to Governance: Systems Helping Systems,bringing-competencies-to-governance-systems-helping-systems,/boardeval/bringing-competencies-to-governance.pdf,Good Governance Practices,Board Evaluation,,10/11/17,10/11/17,1/1/17,Yes
Road to Better Governance,road-to-better-governance,/boardeval/center-voices-1-12.pdf,Good Governance Practices,Board Evaluation,,2/6/17,3/2/17,1/1/12,Yes
Fully Equipped to Lead,fully-equipped-to-lead,/boardeval/center-voices-5-15.pdf,Good Governance Practices,Board Evaluation,,2/6/17,2/6/17,1/1/15,Yes
Sample Board Peer Assessment Questionnaire for a Community Hospital,sample-board-peer-assessment-questionnaire-for-a-community-hospital,/boardeval/sample-board-peer-assessment-questionnaire-for-a-community-hospital.pdf,Good Governance Practices,Board Evaluation,,2/6/17,2/6/17,1/1/09,Yes
Sample Meeting Effectiveness Survey for Board or Committee Meetings,sample-meeting-effectiveness-survey-for-board-or-committee-meetings,/boardeval/sample-meeting-effectiveness-survey-for-board-or-committee-meetings.pdf,Good Governance Practices,Board Evaluation,,2/6/17,2/6/17,1/1/09,Yes
Does your board need an attendance policy?,does-your-board-need-an-attendance-policy,/boardinfrastructure/archive/attendance_policy_fall2005.pdf,Good Governance Practices,Board Infrastructure,,2/6/17,7/5/18,1/1/05,Yes
Good governance policies in the post-Enron environment,good-governance-policies-in-the-post-enron-environment,/boardinfrastructure/archive/Board_policies_post_enron.pdf,Good Governance Practices,Board Infrastructure,,2/6/17,7/5/18,,Yes
Board Communications on the Fast Track,board-communications-on-the-fast-track,/boardinfrastructure/archive/CenterVoices2008-04.pdf,Good Governance Practices,Board Infrastructure,,2/6/17,7/5/18,1/1/08,Yes
Developing annual board goals,developing-annual-board-goals,/boardinfrastructure/archive/GB-2007-Winter-Developing-Board-Goals-reprint.pdf,Good Governance Practices,Board Infrastructure,,2/6/17,7/5/18,1/1/07,Yes
"Sample Position Profile: Vice President, Governance ",sample-position-profile-vice-president-governance-,/boardinfrastructure/archive/sample-position-profile.pdf,Tools,Board Infrastructure,,2/6/17,9/6/18,1/1/04,Yes
Role of the Chief Governance Officer,role-of-the-chief-governance-officer,/boardinfrastructure/archive/Workbook2011-11.pdf,Good Governance Practices,Board Infrastructure,,2/6/17,7/5/18,1/1/11,Yes
Audit and Corporate Compliance Committee Charter,audit-and-corporate-compliance-committee-charter,/boardinfrastructure/Charter-Audit-and-Corporate-Compliance-Committee-charter-July-2008.pdf,Good Governance Practices,Board Infrastructure,,2/6/17,2/6/17,1/1/08,Yes
Governance Policy Statement on Distinguishing Policy from Operations,governance-policy-statement-on-distinguishing-policy-from-operations,/boardinfrastructure/Policy_on_Policy_vs_Operations.pdf,Good Governance Practices,Board Infrastructure,,2/6/17,2/6/17,1/1/16,Yes
Position Description for a Health System or Hospital Board Member,position-description-for-a-health-system-or-hospital-board-member,/boardinfrastructure/PositionDescripHCBoard.pdf,Good Governance Practices,Board Infrastructure,,2/6/17,2/6/17,1/1/16,Yes
Position Description for a Board Chairperson,position-description-for-a-board-chairperson,/boardinfrastructure/PositionDescriptionBoardChairperson.pdf,Good Governance Practices,Board Infrastructure,,2/6/17,2/6/17,1/1/16,Yes
Position Description for a Chair-Elect,position-description-for-a-chair-elect,/boardinfrastructure/PositionDescriptionChairElect.pdf,Good Governance Practices,Board Infrastructure,,2/6/17,2/6/17,1/1/16,Yes
Sample Meeting Minutes and Records Policy,sample-meeting-minutes-and-records-policy,/boardinfrastructure/sample-meeting-minutes-and-records-policy.pdf,Good Governance Practices,Board Infrastructure,,2/6/17,2/6/17,1/1/08,Yes
Supporting High Performing Boards: Dedicated Governance Leadership (Webinar),supporting-high-performing-boards-dedicated-governance-leadership-webinar,/boardinfrastructure/Supporting-High-Performing-Boards-Dedicated-Governance-Leadership.shtml,Good Governance Practices,Board Infrastructure,,8/16/18,8/16/18,7/1/18,Yes
Supporting High-Performing Boards: Is It  Time for Dedicated Governance Leadership?,supporting-highperforming-boards-is-it-time-for-dedicated-governance-leadership,/boardinfrastructure/supportinghighperformingboards.pdf,Good Governance Practices,Board Infrastructure,,4/3/17,4/3/17,1/1/17,Yes
The Role of the Board Chair (Webinar),the-role-of-the-board-chair-webinar,/boardinfrastructure/the-role-of-the-board-chair-2018.shtml,Good Governance Practices,Board Infrastructure,,8/16/18,8/16/18,1/1/18,Yes
Use and Abuse of Executive Sessions,use-and-abuse-of-executive-sessions,/boardmeetings/archive/GB-useandabuse-07.pdf,Good Governance Practices,Board Meetings,,2/6/17,7/5/18,1/1/07,Yes
Board Meeting Evaluation ,board-meeting-evaluation-,/boardmeetings/archive/GI05_3.pdf,Good Governance Practices,Board Meetings,,2/6/17,7/5/18,1/1/05,Yes
Sample Committee Charter,sample-committee-charter,/boardmeetings/archive/sample-committee-charter.pdf,Good Governance Practices,Board Infrastructure,,2/6/17,7/5/18,,Yes
Ten Ways to Improve Board Meetings,ten-ways-to-improve-board-meetings,/boardmeetings/archive/Ten_Ways_to_Improve_Board_Meetings.pdf,Good Governance Practices,Board Meetings,,2/6/17,7/19/18,,Yes
Disruptive Governance - A Path to Becoming an Exceptional Board,disruptive-governance-a-path-to-becoming-an-exceptional-board,/boardmeetings/archive/BetaWKBK0207.pdf,Good Governance Practices,Board Meetings,,2/6/17,7/5/18,1/1/07,Yes
New Approaches to Effective Board Decision Making,new-approaches-to-effective-board-decision-making,/boardmeetings/articles/new-approaches-to-effective-board-decision-making.shtml,Good Governance Practices,Board Meetings,,9/10/18,9/10/18,9/1/18,Yes
Asking the Edgy Questions About the Future,asking-the-edgy-questions-about-the-future,/boardmeetings/asking-the-edgy-questions-about-the-future-winter11.pdf,Good Governance Practices,Board Meetings,,2/6/17,8/16/18,2011,Yes
How to Drive Effective Board Dynamics (Webinar),how-to-drive-effective-board-dynamics-webinar,/boardmeetings/board-meetings-rec-nm.shtml,Good Governance Practices,Board Meetings,,2/6/17,8/14/18,1/1/14,Yes
Board Portals: Are They Improving Governance Effectiveness?,board-portals-are-they-improving-governance-effectiveness,/boardmeetings/board-portals.pdf,Good Governance Practices,Board Meetings,,3/9/17,8/16/18,3/9/17,Yes
Asking Incisive Questions,asking-incisive-questions,/boardmeetings/center-voices-1-16.pdf,Good Governance Practices,Board Meetings,,2/6/17,2/6/17,1/1/16,Yes
Inside Two Worlds,inside-two-worlds,/boardmeetings/center-voices-6-14.pdf,Good Governance Practices,Board Meetings,,2/6/17,2/6/17,1/1/14,Yes
Better Board Meetings,better-board-meetings,/boardmeetings/center-voices-6-15.pdf,Good Governance Practices,Board Meetings,,2/6/17,2/22/17,1/1/15,Yes
Creating the Right Boardroom Conversations,creating-the-right-boardroom-conversations,/boardmeetings/Creating the Right Boardroom Conversations.pdf,Good Governance Practices,Board Meetings,,2/28/17,2/28/17,,Yes
Policy on Consent Agendas,policy-on-consent-agendas,/boardmeetings/Policy_on_Consent_Agenda.pdf,Good Governance Practices,Board Meetings,,2/6/17,2/6/17,1/1/16,Yes
Beta Toolbox: Seven Techniques to Strengthen Board Decision Making,beta-toolbox-seven-techniques-to-strengthen-board-decision-making,/boardmeetings/TI_0918_tool_orlikoff-new-decision-making.pdf,Good Governance Practices,Board Meetings,,9/10/18,9/10/18,9/1/18,Yes
Guide to Good Governance for Hospital Boards,guide-to-good-governance-for-hospital-boards,/boardorientation/09-guide-to-good-governance.pdf,Good Governance Practices,Board Orientation,,2/6/17,2/6/17,1/1/09,Yes
Board Orientation 101,board-orientation-101,/boardorientation/2017-betamag-board-orientation-101.pdf,Good Governance Practices,Board Orientation,,5/15/17,5/15/17,1/1/17,Yes
New Board Member Orientation Manual,new-board-member-orientation-manual,/boardorientation/Best_Practices_Orientation_Manual_May2004.pdf,Good Governance Practices,Board Orientation,,2/6/17,2/6/17,1/1/04,Yes
New Board Member Orientation Process,new-board-member-orientation-process,/boardorientation/Best_Practices_Orientation_Process_May2004.pdf,Good Governance Practices,Board Orientation,,2/6/17,2/6/17,1/1/04,Yes
"Quarterly Mentor Feedback Form, Sierra Vista Regional Health Center",quarterly-mentor-feedback-form-sierra-vista-regional-health-center,/boardorientation/Quarterly-Mentor-Feedback-Form.pdf,Good Governance Practices,Board Orientation,,2/6/17,2/6/17,1/1/16,Yes
Sample Board Chair Role Description,sample-board-chair-role-description,/boardorientation/sample-board-chair-role-description-charter.pdf,Good Governance Practices,Board Orientation,,2/6/17,2/6/17,1/1/05,Yes
Sample Board Orientation Manual Index,sample-board-orientation-manual-index,/boardorientation/sample-board-orientation-manual-index.pdf,Good Governance Practices,Board Orientation,,2/6/17,2/24/17,1/1/05,Yes
Sample Duties and Expectations of a Director,sample-duties-and-expectations-of-a-director,/boardorientation/sample-duties-and-expectations-of-a-director-charter.pdf,Good Governance Practices,Board Orientation,,2/6/17,2/6/17,1/1/05,Yes
Sample Statement of the Roles and Responsibilities of the Board,sample-statement-of-the-roles-and-responsibilities-of-the-board,/boardorientation/sample-statement-of-the-roles-and-responsibilities-of-the-roard-charter.pdf,Good Governance Practices,Board Orientation,,2/6/17,2/6/17,1/1/05,Yes
Board Orientation Best Practices: Strategies for Onboarding New Beta Effectively (Webinar),board-orientation-best-practices-strategies-for-onboarding-new-beta-effectively-webinar,/boardorientation/web-rec/board-orientation-best-practices-2018.shtml,Good Governance Practices,Board Orientation,,8/16/18,8/16/18,4/1/18,Yes
"Beta Mentoring: For Orientation, Leadership Development and More",beta-mentoring-for-orientation-leadership-development-and-more,/boardorientation/Workbook2013-07.pdf,Good Governance Practices,Board Orientation,,2/6/17,2/6/17,1/1/13,Yes
Board Committee Orientation: Deepening Competence to Drive Performance,board-committee-orientation-deepening-competence-to-drive-performance,/boardstructure/committeeorientation.pdf,Good Governance Practices,Board Structure,,3/20/17,3/20/17,1/1/17,Yes
Evaluating and Improving Board Committees,evaluating-and-improving-board-committees,/boardstructure/evaluating-and-improving-board-committees7-19.pdf,Good Governance Practices,Board Structure,,2/6/17,7/19/18,1/1/08,Yes
Leveraging Committees,leveraging-committees,/boardstructure/Leveraging-Committees.pdf,Good Governance Practices,Board Structure,,4/10/18,4/10/18,1/1/18,Yes
Sample Committee Assessment Board Audit and Compliance Committee,sample-committee-assessment-board-audit-and-compliance-committee,/boardstructure/sample-committee-assessment-board-audit-and-compliance-committee.pdf,Good Governance Practices,Board Structure,,2/6/17,2/6/17,1/1/16,Yes
Audit and Corporate Compliance Committee Charter,audit-and-corporate-compliance-committee-charter,/charters/Charter-Audit-and-Corporate-Compliance-Committee-charter-July-2008.pdf,Tools,Beta Tools,Beta Tools,2/6/17,2/6/17,1/1/08,Yes
Audit and Corporate Compliance Committee Charter Tool,audit-and-corporate-compliance-committee-charter-tool,/charters/Charter-Audit-and-Corporate-Compliance-Committee-charter-July-2008.pdf,Good Governance Practices,Beta Tools,Beta Tools,9/24/18,9/24/18,1/1/08,Yes
Executive Evaluation and Compensation Committee Charter,executive-evaluation-and-compensation-committee-charter,/charters/Charter-Executive-Evaluation-and-Compensation-Committee-Charter-July-2008.pdf,Tools,Beta Tools,Beta Tools,2/6/17,2/6/17,1/1/08,Yes
Executive Evaluation and Compensation Committee Charter Tool,executive-evaluation-and-compensation-committee-charter-tool,/charters/Charter-Executive-Evaluation-and-Compensation-Committee-Charter-July-2008.pdf,Good Governance Practices,Beta Tools,Beta Tools,9/24/18,9/24/18,1/1/08,Yes
Governance Committee Charter,governance-committee-charter,/charters/Charter-Governance-Committee-charter-July-2008.pdf,Tools,Beta Tools,Beta Tools,2/6/17,2/6/17,1/1/16,Yes
Governance Committee Charter Tool,governance-committee-charter-tool,/charters/Charter-Governance-Committee-charter-July-2008.pdf,Good Governance Practices,Beta Tools,Beta Tools,9/24/18,9/24/18,1/1/16,Yes
Quality and Professional Affairs Committee Charter,quality-and-professional-affairs-committee-charter,/charters/Charter-Quality-and-Professional-Affairs-Committee-Charter-July-2008.pdf,Tools,Beta Tools,Beta Tools,2/6/17,2/6/17,1/1/16,Yes
Quality and Professional Affairs Committee Charter Tool,quality-and-professional-affairs-committee-charter-tool,/charters/Charter-Quality-and-Professional-Affairs-Committee-Charter-July-2008.pdf,Good Governance Practices,Beta Tools,Beta Tools,9/24/18,9/24/18,1/1/16,Yes
Strategic Planning Committee Sample Charter,strategic-planning-committee-sample-charter,/charters/Charter-Strategic-Planning-Committee-sample-charter-July-2008.pdf,Tools,Beta Tools,Beta Tools,2/6/17,2/6/17,1/1/16,Yes
Strategic Planning Committee Sample Charter Tool,strategic-planning-committee-sample-charter-tool,/charters/Charter-Strategic-Planning-Committee-sample-charter-July-2008.pdf,Good Governance Practices,Beta Tools,Beta Tools,9/24/18,9/24/18,1/1/16,Yes
Sample Committee Assessment Board Audit and Compliance Committee,sample-committee-assessment-board-audit-and-compliance-committee,/charters/sample-committee-assessment-board-audit-and-compliance-committee.pdf,Tools,Beta Tools,Beta Tools,2/6/17,2/6/17,1/1/16,Yes
New Board Member Orientation Manual,new-board-member-orientation-manual,/checklists/Best_Practices_Orientation_Manual_May2004.pdf,Tools,Beta Tools,Beta Tools,2/6/17,2/6/17,1/1/16,Yes
New Board Member Orientation Process,new-board-member-orientation-process,/checklists/Best_Practices_Orientation_Process_May2004.pdf,Tools,Beta Tools,Beta Tools,2/6/17,2/6/17,1/1/16,Yes
Top 10 Practices of Great Boards,top-10-practices-of-great-boards,/checklists/Best_practices_top_ten_list.pdf,Tools,Beta Tools,Beta Tools,2/6/17,2/6/17,1/1/16,Yes
Creating the Right Boardroom Conversations,creating-the-ri,/checklists/Creating the Right Boardroom Conversations.pdf,Tools,Beta Tools,Beta Tools,2/28/17,2/28/17,1/1/14,Yes
Current High-Performance Governance Practices,current-highperformance-governance-practices,/checklists/Current High-Performing Governance Practices.pdf,Tools,Beta Tools,Beta Tools,2/28/17,2/28/17,1/1/14,Yes
Current High-Performance Governance Practices Tool,current-highperformance-governance-practices-tool,/checklists/Current%20High-Performing%20Governance%20Practices.pdf,Good Governance Practices,Checklists,,9/24/18,9/24/18,9/24/18,Yes
Seven Steps to Designing an Effective Education Process,seven-steps-to-designing-an-effective-education-process,/checklists/Seven Steps to Designing an Effective Governance Education Process.pdf,Tools,Beta Tools,Beta Tools,2/28/17,2/28/17,1/1/14,Yes
Seven Steps to Designing an Effective Governance Education Process Tool,seven-steps-to-designing-an-effective-governance-education-process-tool,/checklists/Seven%20Steps%20to%20Designing%20an%20Effective%20Governance%20Education%20Process.pdf,Good Governance Practices,Checklists,,9/24/18,9/24/18,9/24/18,Yes
Governance Quality Engagement Diagnostic,governance-quality-engagement-diagnostic,/checklists/TI_0718_Conway-quality-tool.pdf,Tools,Beta Tools,Beta Tools,6/29/18,6/29/18,1/1/18,Yes
Fiduciary Duties - Best Practices,fiduciary-duties-best-practices,/checklists/beta-toolkit-fiduciary-duties.pdf,Tools,Beta Tools,Beta Tools,9/12/17,9/12/17,1/1/17,Yes
Corporate Governance Emphasis in Final Form 990 Instructions,corporate-governance-emphasis-in-final-form-990-instructions,/community/archive/AHLA-MWE-Form-990-instructions-exec-summary.pdf,Issues & Trends,Community Benefit,,2/6/17,8/2/18,1/1/08,Yes
Building Community Health,building-community-health,/community/buildingcommunityhealth.pdf,Issues & Trends,Community Benefit,,3/28/17,3/28/17,1/1/17,Yes
Partners for Public Health,partners-for-public-health,/community/center-voices-5-13.pdf,Issues & Trends,Community Benefit,,2/6/17,2/6/17,1/1/13,Yes
Helping Boards Achieve and Demonstrate Accountability,helping-boards-achieve-and-demonstrate-accountability,/community/GI14_2.pdf,Issues & Trends,Community Benefit,,2/6/17,2/6/17,1/1/14,Yes
"Tax-Exempt Hospital Requirements: ""Community Health Needs Assessments"" (Webinar)",taxexempt-hospital-requirements-community-health-needs-assessments-webinar,/community/webinars/policy/tax-exempt.shtml,Issues & Trends,Community Benefit,,2/6/17,8/14/18,,Yes
The Board?¢‚Ç¨‚Ñ¢s Role in Cybersecurity (Part One),the-boards-role-in-cybersecurity-part-one,/cybersecurity/articles/the-boards-role-in-cybersecurity-part-one.shtml,Issues & Trends,Cybersecurity,,1/16/19,1/16/19,1/16/19,Yes
